                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2573,                 4.7683,                 1.6139,                0.31702,                0.06984,                0.07981,                0.03048,                 1.8651,                 3.9958,                 1.5371,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.8595,                 2.5745,                 1.3578,                0.50545,                  0.398,                0.46173,                0.26332,                 1.6015,                 2.4493,                 1.3501,              0.0001584,              0.0001584,              0.0001584
                      3,                 1.7322,                 1.7148,                  1.265,                0.54559,                0.61589,                0.57382,                 0.3154,                   1.55,                 3.7066,                 1.3046,             0.00023023,             0.00023023,             0.00023023
                      4,                 1.6746,                 1.4258,                 1.2202,                0.55189,                0.79995,                0.67969,                0.39869,                 1.4468,                 1.8643,                 1.2513,             0.00029327,             0.00029327,             0.00029327
                      5,                  1.572,                 1.3059,                 1.1741,                0.74942,                0.56977,                0.69971,                0.39109,                 1.4213,                 1.6353,                  1.268,              0.0003475,              0.0003475,              0.0003475
                      6,                 1.5923,                 1.1949,                 1.1681,                0.71656,                 0.7757,                0.75443,                  0.445,                 1.3665,                 1.6243,                  1.254,             0.00039293,             0.00039293,             0.00039293
                      7,                 1.5255,                 1.0912,                 1.1221,                0.68951,                0.80517,                0.74312,                0.43023,                 1.4194,                 1.6011,                 1.2855,             0.00042957,             0.00042957,             0.00042957
                      8,                 1.5139,                 1.0991,                 1.1357,                0.72642,                 0.7626,                0.78408,                0.44628,                  1.435,                 1.3162,                  1.324,              0.0004574,              0.0004574,              0.0004574
                      9,                  1.536,                 1.0338,                 1.1218,                0.63974,                0.75962,                0.77952,                0.45355,                 1.4082,                 1.6898,                 1.3158,             0.00047644,             0.00047644,             0.00047644
                     10,                 1.4512,                 1.0205,                 1.1146,                0.69382,                 0.6928,                0.72411,                0.43128,                 1.4283,                  1.402,                 1.3322,             0.00048668,             0.00048668,             0.00048668
                     11,                 1.4734,                  1.068,                 1.1446,                0.59852,                0.71365,                0.70678,                0.41882,                 1.5214,                 1.3417,                 1.3919,             0.00048812,             0.00048812,             0.00048812
                     12,                 1.4929,                 1.0462,                 1.1155,                0.73748,                0.73845,                 0.7403,                0.43893,                 1.4472,                 1.2271,                 1.3364,             0.00048076,             0.00048076,             0.00048076
                     13,                 1.4818,                0.96184,                 1.1539,                0.80634,                0.72545,                0.76846,                0.45811,                 1.4477,                  1.239,                 1.3189,             0.00045107,             0.00045107,             0.00045107
                     14,                 1.3843,                0.90834,                 1.0811,                0.73318,                0.75532,                0.75362,                 0.4591,                 1.4103,                 1.1907,                 1.2953,             0.00039607,             0.00039607,             0.00039607
                     15,                 1.3308,                0.84577,                 1.0678,                0.75605,                0.72422,                0.75744,                0.44844,                 1.4011,                 1.1796,                 1.2783,             0.00034108,             0.00034108,             0.00034108
                     16,                 1.3499,                0.84571,                 1.0502,                 0.7429,                0.73663,                0.76428,                0.44068,                 1.4104,                 1.1072,                 1.2618,             0.00028608,             0.00028608,             0.00028608
                     17,                 1.3128,                0.80638,                 1.0238,                0.71077,                0.75314,                0.75909,                0.46555,                 1.3898,                 1.0817,                 1.2315,             0.00023109,             0.00023109,             0.00023109
                     18,                 1.2764,                0.79936,                 1.0296,                0.72392,                0.75145,                0.77256,                0.47264,                 1.3823,                 1.0466,                 1.2299,             0.00017609,             0.00017609,             0.00017609
                     19,                 1.2852,                0.77338,                 1.0135,                 0.6889,                0.85054,                0.77174,                0.46931,                 1.3688,                0.99649,                  1.224,              0.0001211,              0.0001211,              0.0001211
                     20,                 1.2552,                0.75782,                 1.0162,                 0.6978,                0.82817,                0.77034,                0.48448,                   1.35,                0.96254,                 1.2145,             6.6105e-05,             6.6105e-05,             6.6105e-05
