                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2573,                 4.7683,                 1.6139,                0.31702,                0.06984,                0.07981,                0.03048,                 1.8651,                 3.9958,                 1.5371,              7.777e-05,              7.777e-05,              7.777e-05
                      2,                 1.8526,                 2.5632,                 1.3546,                0.49248,                0.39661,                0.44577,                0.25419,                 1.6344,                 2.4835,                 1.3765,             0.00016335,             0.00016335,             0.00016335
                      3,                 1.7281,                 1.7062,                 1.2613,                0.56969,                0.59525,                0.57069,                0.31453,                  1.552,                  3.755,                 1.3041,             0.00024541,             0.00024541,             0.00024541
                      4,                 1.6708,                 1.4092,                 1.2142,                0.63931,                0.64428,                  0.696,                0.39969,                 1.4203,                 1.8934,                 1.2278,             0.00032395,             0.00032395,             0.00032395
                      5,                 1.5828,                 1.3112,                 1.1699,                0.68623,                0.65719,                 0.7273,                0.40857,                 1.3927,                 1.5913,                 1.2575,             0.00039897,             0.00039897,             0.00039897
                      6,                 1.5995,                 1.2073,                 1.1631,                0.62954,                0.82151,                0.76851,                0.43243,                 1.3947,                 1.8172,                 1.2634,             0.00047048,             0.00047048,             0.00047048
                      7,                 1.5548,                 1.1037,                 1.1304,                0.56279,                0.80063,                0.70875,                0.38761,                 1.5032,                 2.0412,                   1.34,             0.00053846,             0.00053846,             0.00053846
                      8,                 1.5344,                 1.1022,                 1.1372,                0.59319,                0.80998,                0.73364,                0.42223,                 1.4517,                 1.8492,                 1.3494,             0.00060292,             0.00060292,             0.00060292
                      9,                 1.5249,                  1.057,                 1.1271,                0.60741,                0.75258,                0.72216,                0.40116,                  1.446,                 2.1937,                 1.3492,             0.00066386,             0.00066386,             0.00066386
                     10,                 1.4798,                 1.0497,                 1.1234,                0.62681,                0.67484,                0.71838,                0.41525,                 1.4511,                 1.6918,                 1.3412,             0.00072129,             0.00072129,             0.00072129
                     11,                 1.5059,                 1.0241,                 1.1502,                0.79286,                0.70622,                0.76415,                0.45691,                 1.4759,                  1.402,                 1.3612,             0.00077519,             0.00077519,             0.00077519
                     12,                 1.4572,                0.98671,                 1.1024,                0.86573,                0.69624,                0.80735,                0.47556,                 1.4986,                 1.2479,                 1.3515,             0.00082557,             0.00082557,             0.00082557
                     13,                 1.4743,                0.97615,                 1.0973,                0.62105,                0.71446,                0.70624,                0.40309,                 1.5501,                 1.3986,                 1.3539,             0.00084703,             0.00084703,             0.00084703
                     14,                 1.5206,                 0.9404,                 1.0885,                0.63396,                 0.7087,                0.70198,                0.40454,                 1.5454,                   1.48,                 1.3584,             0.00082503,             0.00082503,             0.00082503
                     15,                 1.5229,                 0.9544,                 1.1175,                0.71222,                0.64504,                0.69152,                0.39732,                 1.5272,                 1.5041,                 1.3839,             0.00080303,             0.00080303,             0.00080303
                     16,                 1.4367,                0.93574,                 1.0776,                0.62598,                 0.7613,                0.73083,                0.39261,                 1.6125,                 1.4967,                  1.441,             0.00078103,             0.00078103,             0.00078103
                     17,                 1.4528,                0.93282,                 1.0814,                0.70719,                0.75627,                 0.7736,                0.43961,                 1.5018,                 1.2555,                 1.3386,             0.00075904,             0.00075904,             0.00075904
                     18,                 1.3989,                0.84376,                 1.0551,                 0.7438,                0.71279,                 0.7632,                0.42926,                 1.5452,                 1.2941,                  1.379,             0.00073704,             0.00073704,             0.00073704
                     19,                 1.3843,                0.84793,                 1.0846,                0.74859,                0.71722,                0.79681,                0.46842,                 1.5131,                 1.4432,                 1.3919,             0.00071504,             0.00071504,             0.00071504
                     20,                  1.348,                0.83811,                  1.058,                0.74508,                 0.7991,                 0.7712,                0.46306,                 1.4853,                 1.3703,                 1.3694,             0.00069304,             0.00069304,             0.00069304
                     21,                 1.3549,                 0.8246,                 1.0593,                0.77941,                0.72624,                0.78068,                0.44505,                 1.5113,                 1.1941,                 1.3789,             0.00067104,             0.00067104,             0.00067104
                     22,                 1.3102,                0.82184,                 1.0475,                0.72207,                0.82254,                 0.8156,                 0.4811,                 1.5012,                 1.1602,                 1.3515,             0.00064905,             0.00064905,             0.00064905
                     23,                 1.3641,                0.82036,                 1.0461,                0.73702,                0.75155,                0.78981,                0.44826,                 1.5267,                 1.1536,                 1.3548,             0.00062705,             0.00062705,             0.00062705
                     24,                 1.2939,                0.79095,                 1.0354,                0.76373,                 0.7671,                0.81465,                0.46964,                 1.4939,                  1.102,                  1.337,             0.00060505,             0.00060505,             0.00060505
                     25,                 1.3124,                0.77466,                 1.0377,                0.78303,                0.81549,                0.83905,                0.49543,                 1.4301,                 1.0638,                 1.2972,             0.00058305,             0.00058305,             0.00058305
                     26,                 1.2924,                0.75982,                  1.056,                0.80642,                0.80793,                0.84833,                 0.4953,                 1.4532,                 1.0374,                 1.3141,             0.00056105,             0.00056105,             0.00056105
                     27,                 1.2878,                0.72739,                 1.0005,                0.84008,                0.75423,                0.80961,                0.45092,                 1.5258,                 1.0175,                 1.3634,             0.00053906,             0.00053906,             0.00053906
                     28,                  1.272,                0.76345,                 1.0522,                0.79328,                0.86754,                0.81371,                 0.4549,                 1.5255,                 1.0088,                 1.3599,             0.00051706,             0.00051706,             0.00051706
                     29,                 1.2353,                0.70429,                0.99857,                0.83928,                0.83281,                0.84121,                0.48932,                 1.4912,                 1.0087,                  1.335,             0.00049506,             0.00049506,             0.00049506
                     30,                 1.1894,                0.68489,                0.98788,                0.87761,                0.84491,                0.84377,                0.49929,                 1.4624,                 1.0016,                 1.3242,             0.00047306,             0.00047306,             0.00047306
                     31,                 1.2546,                0.72701,                 1.0156,                0.84721,                0.83652,                 0.8265,                0.50612,                 1.4273,                 1.0082,                 1.2962,             0.00045107,             0.00045107,             0.00045107
                     32,                 1.2068,                0.68874,                 0.9932,                 0.8251,                0.83717,                0.82886,                0.51434,                 1.4177,                 1.0435,                 1.2748,             0.00042907,             0.00042907,             0.00042907
                     33,                 1.2436,                0.70574,                 1.0069,                0.87388,                0.73572,                0.78726,                0.47815,                 1.4835,                 1.0895,                 1.3134,             0.00040707,             0.00040707,             0.00040707
                     34,                 1.1765,                0.66373,                0.99885,                0.79222,                0.79175,                0.82271,                0.49547,                 1.4738,                 1.0703,                 1.3042,             0.00038507,             0.00038507,             0.00038507
                     35,                 1.2203,                0.67358,                0.99907,                0.79243,                0.82995,                0.83229,                0.50589,                  1.453,                  1.015,                  1.296,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.1577,                0.65082,                0.99713,                0.78255,                0.80023,                0.83236,                0.49775,                 1.4708,                 1.0037,                  1.317,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.1521,                0.64167,                0.97204,                0.81578,                 0.7917,                0.83297,                0.49829,                   1.49,                 1.0087,                 1.3277,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.0997,                0.63462,                0.98723,                0.83575,                0.83816,                0.87348,                0.50746,                 1.5018,                0.98997,                  1.309,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.1435,                 0.6347,                0.97503,                0.83072,                0.84394,                0.87616,                0.52538,                 1.5092,                0.95585,                 1.3046,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.1296,                0.63272,                0.96948,                0.88414,                0.80209,                0.87562,                0.52998,                 1.4926,                0.96073,                 1.2974,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.0823,                0.63299,                0.94691,                0.87457,                0.81894,                0.85866,                0.53114,                  1.466,                0.96615,                 1.2704,             0.00023109,             0.00023109,             0.00023109
                     42,                  1.097,                0.62097,                0.96291,                0.87245,                0.80604,                0.84707,                0.52234,                 1.4702,                0.98268,                 1.2723,             0.00020909,             0.00020909,             0.00020909
                     43,                 1.0759,                0.59934,                0.96479,                0.85862,                0.79909,                0.86655,                0.52306,                 1.4777,                0.95915,                  1.282,             0.00018709,             0.00018709,             0.00018709
                     44,                 1.0815,                0.58805,                0.95324,                0.89295,                0.81635,                0.88175,                0.50729,                 1.4679,                0.93708,                 1.2694,             0.00016509,             0.00016509,             0.00016509
                     45,                 1.0487,                0.56879,                0.93916,                0.88515,                0.83512,                0.89614,                0.50283,                 1.4625,                0.92779,                 1.2621,              0.0001431,              0.0001431,              0.0001431
                     46,                  1.024,                0.55286,                0.92949,                0.88911,                0.79689,                0.87255,                0.51691,                 1.4402,                0.89384,                 1.2461,              0.0001211,              0.0001211,              0.0001211
                     47,                0.98829,                0.54214,                0.92881,                0.87646,                 0.8242,                0.89984,                0.53986,                 1.4271,                0.87984,                 1.2448,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                 1.0235,                0.54265,                0.95253,                0.85271,                0.83536,                0.90236,                0.54343,                 1.4182,                0.87851,                  1.244,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.98133,                 0.5349,                0.92794,                0.84976,                 0.8407,                0.90373,                0.54685,                 1.4199,                0.87791,                 1.2496,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 1.0158,                0.54917,                0.95298,                0.87735,                0.82478,                0.90165,                0.55496,                 1.4244,                0.88212,                  1.252,             3.3108e-05,             3.3108e-05,             3.3108e-05
